sentences,ground_truth,total_words,bert_raw,bert_prediction,bert_successes,bert_prediction_length
"['Stefanel', 'Milan', '(', 'Italy', ')', '9', '6', '3', '15']","[3, 4, 0, 5, 0, 0, 0, 0, 0]",9,"[{'entity': 'B-PER', 'score': 0.9892124, 'index': 1, 'word': 'Stefan', 'start': 0, 'end': 6}, {'entity': 'B-PER', 'score': 0.9324545, 'index': 2, 'word': '##el', 'start': 6, 'end': 8}, {'entity': 'I-PER', 'score': 0.99287546, 'index': 3, 'word': 'Milan', 'start': 9, 'end': 14}, {'entity': 'B-LOC', 'score': 0.9998462, 'index': 5, 'word': 'Italy', 'start': 17, 'end': 22}]","[1, 2, 0, 5, 0, 0, 0, 0, 0]",7,9
"['Maccabi', 'Tel', 'Aviv', '(', 'Israel', ')', '9', '5', '4', '14']","[3, 4, 4, 0, 5, 0, 0, 0, 0, 0]",10,"[{'entity': 'B-ORG', 'score': 0.9990453, 'index': 1, 'word': 'Maccabi', 'start': 0, 'end': 7}, {'entity': 'I-ORG', 'score': 0.99047136, 'index': 2, 'word': 'Tel', 'start': 8, 'end': 11}, {'entity': 'I-ORG', 'score': 0.9976897, 'index': 3, 'word': 'Aviv', 'start': 12, 'end': 16}, {'entity': 'B-LOC', 'score': 0.9997681, 'index': 5, 'word': 'Israel', 'start': 19, 'end': 25}]","[3, 4, 4, 0, 5, 0, 0, 0, 0, 0]",10,10
"['Ulker', 'Spor', '(', 'Turkey', ')', '9', '4', '5', '13']","[3, 4, 0, 5, 0, 0, 0, 0, 0]",9,"[{'entity': 'B-ORG', 'score': 0.9979126, 'index': 1, 'word': 'U', 'start': 0, 'end': 1}, {'entity': 'I-ORG', 'score': 0.9466649, 'index': 2, 'word': '##lk', 'start': 1, 'end': 3}, {'entity': 'I-ORG', 'score': 0.96619654, 'index': 3, 'word': '##er', 'start': 3, 'end': 5}, {'entity': 'I-ORG', 'score': 0.99680567, 'index': 4, 'word': 'S', 'start': 6, 'end': 7}, {'entity': 'I-ORG', 'score': 0.9962543, 'index': 5, 'word': '##por', 'start': 7, 'end': 10}, {'entity': 'B-LOC', 'score': 0.9997682, 'index': 7, 'word': 'Turkey', 'start': 13, 'end': 19}]","[3, 4, 0, 5, 0, 0, 0, 0, 0]",9,9
"['Limoges', '(', 'France', ')', '9', '3', '6', '12']","[3, 0, 5, 0, 0, 0, 0, 0]",8,"[{'entity': 'B-ORG', 'score': 0.9983033, 'index': 1, 'word': 'Lim', 'start': 0, 'end': 3}, {'entity': 'I-ORG', 'score': 0.9936792, 'index': 2, 'word': '##og', 'start': 3, 'end': 5}, {'entity': 'I-ORG', 'score': 0.9942086, 'index': 3, 'word': '##es', 'start': 5, 'end': 7}, {'entity': 'B-LOC', 'score': 0.9997298, 'index': 5, 'word': 'France', 'start': 10, 'end': 16}]","[3, 0, 5, 0, 0, 0, 0, 0]",8,8
"['Panionios', '(', 'Greece', ')', '9', '3', '6', '12']","[3, 0, 5, 0, 0, 0, 0, 0]",8,"[{'entity': 'B-ORG', 'score': 0.997891, 'index': 1, 'word': 'Pan', 'start': 0, 'end': 3}, {'entity': 'I-ORG', 'score': 0.98949313, 'index': 2, 'word': '##ion', 'start': 3, 'end': 6}, {'entity': 'I-ORG', 'score': 0.9964915, 'index': 3, 'word': '##ios', 'start': 6, 'end': 9}, {'entity': 'B-LOC', 'score': 0.9997199, 'index': 5, 'word': 'Greece', 'start': 12, 'end': 18}]","[3, 0, 5, 0, 0, 0, 0, 0]",8,8
"['Group', 'B']","[0, 0]",2,[],"[0, 0]",2,2
"['Teamsystem', 'Bologna', '(', 'Italy', ')', '9', '7', '2', '16']","[3, 4, 0, 5, 0, 0, 0, 0, 0]",9,"[{'entity': 'B-ORG', 'score': 0.99952126, 'index': 1, 'word': 'Teams', 'start': 0, 'end': 5}, {'entity': 'I-ORG', 'score': 0.9968346, 'index': 2, 'word': '##ys', 'start': 5, 'end': 7}, {'entity': 'I-ORG', 'score': 0.887301, 'index': 3, 'word': '##tem', 'start': 7, 'end': 10}, {'entity': 'I-ORG', 'score': 0.99857545, 'index': 4, 'word': 'Bologna', 'start': 11, 'end': 18}, {'entity': 'B-LOC', 'score': 0.99982303, 'index': 6, 'word': 'Italy', 'start': 21, 'end': 26}]","[3, 4, 0, 5, 0, 0, 0, 0, 0]",9,9
"['Olympiakos', '(', 'Greece', ')', '9', '5', '4', '14']","[3, 0, 5, 0, 0, 0, 0, 0]",8,"[{'entity': 'B-ORG', 'score': 0.9996014, 'index': 1, 'word': 'Olympia', 'start': 0, 'end': 7}, {'entity': 'I-ORG', 'score': 0.99873644, 'index': 2, 'word': '##kos', 'start': 7, 'end': 10}, {'entity': 'B-LOC', 'score': 0.9996859, 'index': 4, 'word': 'Greece', 'start': 13, 'end': 19}]","[3, 0, 5, 0, 0, 0, 0, 0]",8,8
"['Cibona', 'Zagreb', '(', 'Croatia', ')', '9', '5', '4', '14']","[3, 4, 0, 5, 0, 0, 0, 0, 0]",9,"[{'entity': 'B-ORG', 'score': 0.99951017, 'index': 1, 'word': 'C', 'start': 0, 'end': 1}, {'entity': 'I-ORG', 'score': 0.8464757, 'index': 2, 'word': '##ib', 'start': 1, 'end': 3}, {'entity': 'I-ORG', 'score': 0.97732043, 'index': 3, 'word': '##ona', 'start': 3, 'end': 6}, {'entity': 'I-ORG', 'score': 0.9987205, 'index': 4, 'word': 'Zagreb', 'start': 7, 'end': 13}, {'entity': 'B-LOC', 'score': 0.99979275, 'index': 6, 'word': 'Croatia', 'start': 16, 'end': 23}]","[3, 4, 0, 5, 0, 0, 0, 0, 0]",9,9
"['Alba', 'Berlin', '(', 'Germany', ')', '9', '5', '4', '14']","[3, 4, 0, 5, 0, 0, 0, 0, 0]",9,"[{'entity': 'B-ORG', 'score': 0.99948573, 'index': 1, 'word': 'Alba', 'start': 0, 'end': 4}, {'entity': 'I-ORG', 'score': 0.9987017, 'index': 2, 'word': 'Berlin', 'start': 5, 'end': 11}, {'entity': 'B-LOC', 'score': 0.999803, 'index': 4, 'word': 'Germany', 'start': 14, 'end': 21}]","[3, 4, 0, 5, 0, 0, 0, 0, 0]",9,9
"['Estudiantes', 'Madrid', '(', 'Spain', ')', '9', '5', '4', '14']","[3, 4, 0, 5, 0, 0, 0, 0, 0]",9,"[{'entity': 'B-ORG', 'score': 0.99941313, 'index': 1, 'word': 'E', 'start': 0, 'end': 1}, {'entity': 'I-ORG', 'score': 0.9938559, 'index': 2, 'word': '##st', 'start': 1, 'end': 3}, {'entity': 'I-ORG', 'score': 0.99449414, 'index': 3, 'word': '##udi', 'start': 3, 'end': 6}, {'entity': 'I-ORG', 'score': 0.99842775, 'index': 4, 'word': '##ante', 'start': 6, 'end': 10}, {'entity': 'I-ORG', 'score': 0.99698395, 'index': 5, 'word': '##s', 'start': 10, 'end': 11}, {'entity': 'I-ORG', 'score': 0.9988809, 'index': 6, 'word': 'Madrid', 'start': 12, 'end': 18}, {'entity': 'B-LOC', 'score': 0.9997999, 'index': 8, 'word': 'Spain', 'start': 21, 'end': 26}]","[3, 4, 0, 5, 0, 0, 0, 0, 0]",9,9
"['Charleroi', '(', 'Belgium', ')', '9', '0', '9', '9']","[3, 0, 5, 0, 0, 0, 0, 0]",8,"[{'entity': 'B-ORG', 'score': 0.999137, 'index': 1, 'word': 'Cha', 'start': 0, 'end': 3}, {'entity': 'I-ORG', 'score': 0.9829101, 'index': 2, 'word': '##rle', 'start': 3, 'end': 6}, {'entity': 'I-ORG', 'score': 0.9963117, 'index': 3, 'word': '##roi', 'start': 6, 'end': 9}, {'entity': 'B-LOC', 'score': 0.9997578, 'index': 5, 'word': 'Belgium', 'start': 12, 'end': 19}]","[3, 0, 5, 0, 0, 0, 0, 0]",8,8
"['Group', 'C']","[0, 0]",2,[],"[0, 0]",2,2
"['Panathinaikos', '(', 'Greece', ')', '9', '7', '2', '16']","[3, 0, 5, 0, 0, 0, 0, 0]",8,"[{'entity': 'B-ORG', 'score': 0.99948114, 'index': 1, 'word': 'Pan', 'start': 0, 'end': 3}, {'entity': 'I-ORG', 'score': 0.9977198, 'index': 2, 'word': '##ath', 'start': 3, 'end': 6}, {'entity': 'I-ORG', 'score': 0.99781466, 'index': 3, 'word': '##ina', 'start': 6, 'end': 9}, {'entity': 'I-ORG', 'score': 0.9975852, 'index': 4, 'word': '##ikos', 'start': 9, 'end': 13}, {'entity': 'B-LOC', 'score': 0.9996625, 'index': 6, 'word': 'Greece', 'start': 16, 'end': 22}]","[3, 0, 5, 0, 0, 0, 0, 0]",8,8
"['Ljubljana', '(', 'Slovenia', ')', '9', '6', '3', '15']","[3, 0, 5, 0, 0, 0, 0, 0]",8,"[{'entity': 'B-ORG', 'score': 0.9994024, 'index': 1, 'word': 'Ljubljana', 'start': 0, 'end': 9}, {'entity': 'B-LOC', 'score': 0.99974173, 'index': 3, 'word': 'Slovenia', 'start': 12, 'end': 20}]","[3, 0, 5, 0, 0, 0, 0, 0]",8,8
"['Villeurbanne', '(', 'France', ')', '9', '6', '3', '15']","[3, 0, 5, 0, 0, 0, 0, 0]",8,"[{'entity': 'B-PER', 'score': 0.95655906, 'index': 1, 'word': 'Ville', 'start': 0, 'end': 5}, {'entity': 'I-PER', 'score': 0.8030048, 'index': 2, 'word': '##ur', 'start': 5, 'end': 7}, {'entity': 'I-PER', 'score': 0.826216, 'index': 3, 'word': '##ban', 'start': 7, 'end': 10}, {'entity': 'I-PER', 'score': 0.73400706, 'index': 4, 'word': '##ne', 'start': 10, 'end': 12}, {'entity': 'B-LOC', 'score': 0.99979705, 'index': 6, 'word': 'France', 'start': 15, 'end': 21}]","[1, 0, 5, 0, 0, 0, 0, 0]",7,8
"['Barcelona', '(', 'Spain', ')', '9', '4', '5', '13']","[3, 0, 5, 0, 0, 0, 0, 0]",8,"[{'entity': 'B-ORG', 'score': 0.9996238, 'index': 1, 'word': 'Barcelona', 'start': 0, 'end': 9}, {'entity': 'B-LOC', 'score': 0.9997683, 'index': 3, 'word': 'Spain', 'start': 12, 'end': 17}]","[3, 0, 5, 0, 0, 0, 0, 0]",8,8
"['Split', '(', 'Croatia', ')', '9', '4', '5', '13']","[3, 0, 5, 0, 0, 0, 0, 0]",8,"[{'entity': 'B-ORG', 'score': 0.9993487, 'index': 1, 'word': 'Split', 'start': 0, 'end': 5}, {'entity': 'B-LOC', 'score': 0.9997247, 'index': 3, 'word': 'Croatia', 'start': 8, 'end': 15}]","[3, 0, 5, 0, 0, 0, 0, 0]",8,8
"['Bayer', 'Leverkusen', '(', 'Germany', ')', '9', '0', '9', '9']","[3, 4, 0, 5, 0, 0, 0, 0, 0]",9,"[{'entity': 'B-ORG', 'score': 0.9994646, 'index': 1, 'word': 'Bay', 'start': 0, 'end': 3}, {'entity': 'I-ORG', 'score': 0.99511635, 'index': 2, 'word': '##er', 'start': 3, 'end': 5}, {'entity': 'I-ORG', 'score': 0.99855584, 'index': 3, 'word': 'Lev', 'start': 6, 'end': 9}, {'entity': 'I-ORG', 'score': 0.9978283, 'index': 4, 'word': '##er', 'start': 9, 'end': 11}, {'entity': 'I-ORG', 'score': 0.99814785, 'index': 5, 'word': '##kus', 'start': 11, 'end': 14}, {'entity': 'I-ORG', 'score': 0.9977597, 'index': 6, 'word': '##en', 'start': 14, 'end': 16}, {'entity': 'B-LOC', 'score': 0.99978393, 'index': 8, 'word': 'Germany', 'start': 19, 'end': 26}]","[3, 4, 0, 5, 0, 0, 0, 0, 0]",9,9
"['Group', 'D']","[0, 0]",2,[],"[0, 0]",2,2
"['Efes', 'Pilsen', '(', 'Turkey', ')', '9', '7', '2', '16']","[3, 4, 0, 5, 0, 0, 0, 0, 0]",9,"[{'entity': 'B-PER', 'score': 0.99032307, 'index': 1, 'word': 'E', 'start': 0, 'end': 1}, {'entity': 'B-PER', 'score': 0.8430011, 'index': 2, 'word': '##fe', 'start': 1, 'end': 3}, {'entity': 'B-PER', 'score': 0.6409521, 'index': 3, 'word': '##s', 'start': 3, 'end': 4}, {'entity': 'I-PER', 'score': 0.9989127, 'index': 4, 'word': 'Pi', 'start': 5, 'end': 7}, {'entity': 'I-PER', 'score': 0.98326266, 'index': 5, 'word': '##ls', 'start': 7, 'end': 9}, {'entity': 'I-PER', 'score': 0.99664414, 'index': 6, 'word': '##en', 'start': 9, 'end': 11}, {'entity': 'B-LOC', 'score': 0.9998354, 'index': 8, 'word': 'Turkey', 'start': 14, 'end': 20}]","[1, 2, 0, 5, 0, 0, 0, 0, 0]",7,9
"['Pau-Orthez', '(', 'France', ')', '9', '5', '4', '14']","[3, 0, 5, 0, 0, 0, 0, 0]",8,"[{'entity': 'B-ORG', 'score': 0.7285729, 'index': 1, 'word': 'Pa', 'start': 0, 'end': 2}, {'entity': 'I-PER', 'score': 0.3021731, 'index': 2, 'word': '##u', 'start': 2, 'end': 3}, {'entity': 'I-PER', 'score': 0.8385025, 'index': 4, 'word': 'Or', 'start': 4, 'end': 6}, {'entity': 'I-PER', 'score': 0.9021157, 'index': 5, 'word': '##the', 'start': 6, 'end': 9}, {'entity': 'I-ORG', 'score': 0.93407094, 'index': 6, 'word': '##z', 'start': 9, 'end': 10}, {'entity': 'B-LOC', 'score': 0.9997943, 'index': 8, 'word': 'France', 'start': 13, 'end': 19}]","[0, 0, 0, 0, 0, 0, 0, 0]",6,8
"['Partizan', 'Belgrade', '(', 'Yugoslavia', ')', '9', '5', '4', '14']","[3, 4, 0, 5, 0, 0, 0, 0, 0]",9,"[{'entity': 'B-ORG', 'score': 0.99968743, 'index': 1, 'word': 'Part', 'start': 0, 'end': 4}, {'entity': 'I-ORG', 'score': 0.99850684, 'index': 2, 'word': '##iza', 'start': 4, 'end': 7}, {'entity': 'I-ORG', 'score': 0.9946108, 'index': 3, 'word': '##n', 'start': 7, 'end': 8}, {'entity': 'I-ORG', 'score': 0.9987577, 'index': 4, 'word': 'Belgrade', 'start': 9, 'end': 17}, {'entity': 'B-LOC', 'score': 0.9997787, 'index': 6, 'word': 'Yugoslavia', 'start': 20, 'end': 30}]","[3, 4, 0, 5, 0, 0, 0, 0, 0]",9,9
"['Kinder', 'Bologna', '(', 'Italy', ')', '9', '4', '5', '13']","[3, 4, 0, 5, 0, 0, 0, 0, 0]",9,"[{'entity': 'B-ORG', 'score': 0.98595154, 'index': 1, 'word': 'Kind', 'start': 0, 'end': 4}, {'entity': 'I-ORG', 'score': 0.5988337, 'index': 2, 'word': '##er', 'start': 4, 'end': 6}, {'entity': 'I-ORG', 'score': 0.991409, 'index': 3, 'word': 'Bologna', 'start': 7, 'end': 14}, {'entity': 'B-LOC', 'score': 0.9998265, 'index': 5, 'word': 'Italy', 'start': 17, 'end': 22}]","[3, 4, 0, 5, 0, 0, 0, 0, 0]",9,9
"['Sevilla', '(', 'Spain', ')', '9', '4', '5', '13']","[3, 0, 5, 0, 0, 0, 0, 0]",8,"[{'entity': 'B-ORG', 'score': 0.9995821, 'index': 1, 'word': 'Se', 'start': 0, 'end': 2}, {'entity': 'I-ORG', 'score': 0.9922795, 'index': 2, 'word': '##villa', 'start': 2, 'end': 7}, {'entity': 'B-LOC', 'score': 0.99974376, 'index': 4, 'word': 'Spain', 'start': 10, 'end': 15}]","[3, 0, 5, 0, 0, 0, 0, 0]",8,8
"['Dynamo', 'Moscow', '(', 'Russia', ')', '9', '2', '7', '11']","[3, 4, 0, 5, 0, 0, 0, 0, 0]",9,"[{'entity': 'B-ORG', 'score': 0.99948174, 'index': 1, 'word': 'Dynamo', 'start': 0, 'end': 6}, {'entity': 'I-ORG', 'score': 0.9987349, 'index': 2, 'word': 'Moscow', 'start': 7, 'end': 13}, {'entity': 'B-LOC', 'score': 0.9997733, 'index': 4, 'word': 'Russia', 'start': 16, 'end': 22}]","[3, 4, 0, 5, 0, 0, 0, 0, 0]",9,9
"['RUGBY', 'UNION', '-', 'LITTLE', 'TO', 'MISS', 'CAMPESE', 'FAREWELL', '.']","[3, 4, 0, 1, 0, 0, 1, 0, 0]",9,"[{'entity': 'B-ORG', 'score': 0.9989176, 'index': 1, 'word': 'R', 'start': 0, 'end': 1}, {'entity': 'B-ORG', 'score': 0.9830535, 'index': 2, 'word': '##U', 'start': 1, 'end': 2}, {'entity': 'I-ORG', 'score': 0.9807736, 'index': 3, 'word': '##GB', 'start': 2, 'end': 4}, {'entity': 'I-ORG', 'score': 0.9962716, 'index': 4, 'word': '##Y', 'start': 4, 'end': 5}, {'entity': 'I-ORG', 'score': 0.99939036, 'index': 5, 'word': 'UN', 'start': 6, 'end': 8}, {'entity': 'I-ORG', 'score': 0.9941146, 'index': 6, 'word': '##ION', 'start': 8, 'end': 11}, {'entity': 'B-ORG', 'score': 0.87414604, 'index': 8, 'word': 'L', 'start': 14, 'end': 15}, {'entity': 'I-ORG', 'score': 0.63998294, 'index': 9, 'word': '##IT', 'start': 15, 'end': 17}, {'entity': 'I-ORG', 'score': 0.7573487, 'index': 10, 'word': '##TL', 'start': 17, 'end': 19}]","[3, 4, 0, 0, 0, 0, 0, 0, 0]",7,9
"['Robert', 'Kitson']","[1, 2]",2,"[{'entity': 'B-PER', 'score': 0.9997584, 'index': 1, 'word': 'Robert', 'start': 0, 'end': 6}, {'entity': 'I-PER', 'score': 0.99968374, 'index': 2, 'word': 'Kit', 'start': 7, 'end': 10}, {'entity': 'I-PER', 'score': 0.980491, 'index': 3, 'word': '##son', 'start': 10, 'end': 13}]","[1, 2]",2,2
"['LONDON', '1996-12-06']","[5, 0]",2,"[{'entity': 'B-LOC', 'score': 0.99963415, 'index': 1, 'word': 'L', 'start': 0, 'end': 1}, {'entity': 'I-LOC', 'score': 0.81708634, 'index': 2, 'word': '##ON', 'start': 1, 'end': 3}, {'entity': 'I-LOC', 'score': 0.8828411, 'index': 3, 'word': '##D', 'start': 3, 'end': 4}, {'entity': 'I-LOC', 'score': 0.96528083, 'index': 4, 'word': '##ON', 'start': 4, 'end': 6}]","[5, 0]",2,2
"['Centre', 'Jason', 'Little', 'will', 'miss', 'Australia', ""'s"", 'end-of-tour', 'fixture', 'against', 'the', 'Barbarians', 'at', 'Twickenham', 'on', 'Saturday', '.']","[0, 1, 2, 0, 0, 5, 0, 0, 0, 0, 0, 3, 0, 5, 0, 0, 0]",17,"[{'entity': 'B-PER', 'score': 0.9996716, 'index': 2, 'word': 'Jason', 'start': 7, 'end': 12}, {'entity': 'I-PER', 'score': 0.99979013, 'index': 3, 'word': 'Little', 'start': 13, 'end': 19}, {'entity': 'B-LOC', 'score': 0.999845, 'index': 6, 'word': 'Australia', 'start': 30, 'end': 39}, {'entity': 'B-ORG', 'score': 0.9971795, 'index': 17, 'word': 'Bar', 'start': 75, 'end': 78}, {'entity': 'B-ORG', 'score': 0.66681665, 'index': 18, 'word': '##barian', 'start': 78, 'end': 84}, {'entity': 'I-ORG', 'score': 0.9200311, 'index': 19, 'word': '##s', 'start': 84, 'end': 85}, {'entity': 'B-LOC', 'score': 0.9970361, 'index': 21, 'word': 'T', 'start': 89, 'end': 90}, {'entity': 'B-LOC', 'score': 0.9880754, 'index': 22, 'word': '##wick', 'start': 90, 'end': 94}, {'entity': 'I-LOC', 'score': 0.99757236, 'index': 23, 'word': '##enham', 'start': 94, 'end': 99}]","[0, 1, 2, 0, 0, 5, 0, 0, 0, 0, 0, 3, 0, 5, 0, 0, 0]",17,17
"['Little', 'has', 'opted', 'not', 'to', 'risk', 'aggravating', 'the', 'knee', 'injury', 'which', 'ruled', 'him', 'out', 'of', 'a', 'large', 'chunk', 'of', 'the', 'tour', 'and', 'is', 'replaced', 'by', 'fellow', 'Queenslander', 'Daniel', 'Herbert', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 1, 2, 0]",30,"[{'entity': 'B-PER', 'score': 0.9973877, 'index': 1, 'word': 'Little', 'start': 0, 'end': 6}, {'entity': 'B-MISC', 'score': 0.9359262, 'index': 31, 'word': 'Queensland', 'start': 132, 'end': 142}, {'entity': 'B-PER', 'score': 0.99977535, 'index': 33, 'word': 'Daniel', 'start': 145, 'end': 151}, {'entity': 'I-PER', 'score': 0.9997266, 'index': 34, 'word': 'Herbert', 'start': 152, 'end': 159}]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",27,30
"['Owen', 'Finegan', 'has', 'recovered', 'from', 'the', 'knocks', 'he', 'took', 'in', 'last', 'weekend', ""'s"", 'test', 'against', 'Wales', 'and', 'retains', 'his', 'place', 'in', 'the', 'back-row', 'ahead', 'of', 'Daniel', 'Manu', '.']","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]",28,"[{'entity': 'B-PER', 'score': 0.99980277, 'index': 1, 'word': 'Owen', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.99977165, 'index': 2, 'word': 'Fine', 'start': 5, 'end': 9}, {'entity': 'I-PER', 'score': 0.96173173, 'index': 3, 'word': '##gan', 'start': 9, 'end': 12}, {'entity': 'B-LOC', 'score': 0.9990289, 'index': 18, 'word': 'Wales', 'start': 83, 'end': 88}, {'entity': 'B-PER', 'score': 0.9997811, 'index': 30, 'word': 'Daniel', 'start': 136, 'end': 142}, {'entity': 'I-PER', 'score': 0.9995702, 'index': 31, 'word': 'Man', 'start': 143, 'end': 146}, {'entity': 'I-PER', 'score': 0.90761954, 'index': 32, 'word': '##u', 'start': 146, 'end': 147}]","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]",28,28
"['The', 'Wallabies', 'have', 'their', 'sights', 'set', 'on', 'a', '13th', 'successive', 'victory', 'to', 'end', 'their', 'European', 'tour', 'with', 'a', '100', 'percent', 'record', 'but', 'also', 'want', 'to', 'turn', 'on', 'the', 'style', 'and', 'provide', 'David', 'Campese', 'with', 'a', 'fitting', 'send-off', 'in', 'his', 'final', 'match', 'in', 'Australian', 'colours', '.']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0]",45,"[{'entity': 'B-ORG', 'score': 0.602223, 'index': 2, 'word': 'Wall', 'start': 4, 'end': 8}, {'entity': 'I-MISC', 'score': 0.5311176, 'index': 3, 'word': '##abi', 'start': 8, 'end': 11}, {'entity': 'I-ORG', 'score': 0.51203686, 'index': 4, 'word': '##es', 'start': 11, 'end': 13}, {'entity': 'B-MISC', 'score': 0.9995524, 'index': 17, 'word': 'European', 'start': 78, 'end': 86}, {'entity': 'B-PER', 'score': 0.9997272, 'index': 34, 'word': 'David', 'start': 165, 'end': 170}, {'entity': 'I-PER', 'score': 0.9997677, 'index': 35, 'word': 'Camp', 'start': 171, 'end': 175}, {'entity': 'I-PER', 'score': 0.9995455, 'index': 36, 'word': '##ese', 'start': 175, 'end': 178}, {'entity': 'B-MISC', 'score': 0.9997166, 'index': 48, 'word': 'Australian', 'start': 225, 'end': 235}]","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",43,45
"['The', 'Wallabies', 'currently', 'have', 'no', 'plans', 'to', 'make', 'any', 'special', 'presentation', 'to', 'the', '34-year-old', 'winger', 'but', 'a', 'full', 'house', 'of', '75,000', 'spectators', 'will', 'still', 'gather', 'in', 'the', 'hope', 'of', 'witnessing', 'one', 'last', 'moment', 'of', 'magic', '.']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",36,"[{'entity': 'B-MISC', 'score': 0.9600902, 'index': 2, 'word': 'Wall', 'start': 4, 'end': 8}, {'entity': 'I-MISC', 'score': 0.9642932, 'index': 3, 'word': '##abi', 'start': 8, 'end': 11}]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",35,36
"['Campese', 'will', 'be', 'up', 'against', 'a', 'familiar', 'foe', 'in', 'the', 'shape', 'of', 'Barbarians', 'captain', 'Rob', 'Andrew', ',', 'the', 'man', 'who', 'kicked', 'Australia', 'to', 'defeat', 'with', 'a', 'last-ditch', 'drop-goal', 'in', 'the', 'World', 'Cup', 'quarter-final', 'in', 'Cape', 'Town', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 0, 0, 5, 6, 0]",37,"[{'entity': 'B-PER', 'score': 0.981652, 'index': 1, 'word': 'Camp', 'start': 0, 'end': 4}, {'entity': 'B-PER', 'score': 0.45518273, 'index': 2, 'word': '##ese', 'start': 4, 'end': 7}, {'entity': 'B-ORG', 'score': 0.961804, 'index': 14, 'word': 'Bar', 'start': 58, 'end': 61}, {'entity': 'I-ORG', 'score': 0.61012983, 'index': 15, 'word': '##barian', 'start': 61, 'end': 67}, {'entity': 'I-ORG', 'score': 0.8123877, 'index': 16, 'word': '##s', 'start': 67, 'end': 68}, {'entity': 'B-PER', 'score': 0.99975485, 'index': 18, 'word': 'Rob', 'start': 77, 'end': 80}, {'entity': 'I-PER', 'score': 0.99971694, 'index': 19, 'word': 'Andrew', 'start': 81, 'end': 87}, {'entity': 'B-LOC', 'score': 0.9995813, 'index': 25, 'word': 'Australia', 'start': 109, 'end': 118}, {'entity': 'B-MISC', 'score': 0.9988487, 'index': 38, 'word': 'World', 'start': 164, 'end': 169}, {'entity': 'I-MISC', 'score': 0.9984407, 'index': 39, 'word': 'Cup', 'start': 170, 'end': 173}, {'entity': 'B-LOC', 'score': 0.9992699, 'index': 44, 'word': 'Cape', 'start': 191, 'end': 195}, {'entity': 'I-LOC', 'score': 0.99938107, 'index': 45, 'word': 'Town', 'start': 196, 'end': 200}]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 2, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0]",35,37
